,feature,weight,std
481,589.6,0.0,0.0
482,588.2,0.0,0.0
483,586.8,0.0,0.0
484,585.4,0.0,0.0
485,584,0.0,0.0
486,582.7,0.0,0.0
487,581.3,0.0,0.0
488,579.9,0.0,0.0
489,578.5,0.0,0.0
490,577.1,0.0,0.0
491,575.7,0.0,0.0
492,574.3,0.0,0.0
493,573,0.0,0.0
494,571.6,0.0,0.0
495,570.2,0.0,0.0
496,568.8,0.0,0.0
497,1000.3,0.0,0.0
498,1011.9,0.0,0.0
499,1008,0.0,0.0
500,2158.4,0.0,0.0
501,2153.4,0.0,0.0
502,2150.9,0.0,0.0
503,2148.4,0.0,0.0
504,2145.9,0.0,0.0
505,2143.5,0.0,0.0
506,2141,0.0,0.0
507,2138.5,0.0,0.0
508,2136,0.0,0.0
509,2133.5,0.0,0.0
510,2131,0.0,0.0
511,2128.5,0.0,0.0
512,2126,0.0,0.0
513,2123.5,0.0,0.0
514,2120.9,0.0,0.0
515,2118.4,0.0,0.0
516,2115.9,0.0,0.0
517,2113.4,0.0,0.0
518,2110.9,0.0,0.0
519,2108.4,0.0,0.0
520,2105.8,0.0,0.0
521,2103.3,0.0,0.0
522,2100.8,0.0,0.0
523,2098.2,0.0,0.0
524,2095.7,0.0,0.0
525,2093.2,0.0,0.0
526,2090.6,0.0,0.0
527,2088.1,0.0,0.0
528,2155.9,0.0,0.0
529,2160.8,0.0,0.0
530,2083,0.0,0.0
531,2163.3,0.0,0.0
532,2229.3,0.0,0.0
533,2226.9,0.0,0.0
534,2224.4,0.0,0.0
535,2222,0.0,0.0
536,2219.6,0.0,0.0
537,2217.2,0.0,0.0
538,2214.8,0.0,0.0
539,2212.3,0.0,0.0
540,2209.9,0.0,0.0
541,2207.5,0.0,0.0
542,2205,0.0,0.0
543,2202.6,0.0,0.0
544,2200.1,0.0,0.0
545,2197.7,0.0,0.0
546,2195.3,0.0,0.0
547,2192.8,0.0,0.0
548,2190.4,0.0,0.0
549,2187.9,0.0,0.0
550,2185.5,0.0,0.0
551,2183,0.0,0.0
552,2180.6,0.0,0.0
553,2178.1,0.0,0.0
554,2175.6,0.0,0.0
555,2173.2,0.0,0.0
556,2170.7,0.0,0.0
557,2168.2,0.0,0.0
558,2165.8,0.0,0.0
559,2085.6,0.0,0.0
560,2080.5,0.0,0.0
561,2234.1,0.0,0.0
562,2000.4,0.0,0.0
563,1995.2,0.0,0.0
564,1992.6,0.0,0.0
565,1987.3,0.0,0.0
566,1984.7,0.0,0.0
567,1982,0.0,0.0
568,1979.4,0.0,0.0
569,1976.8,0.0,0.0
570,1974.1,0.0,0.0
571,1971.5,0.0,0.0
572,1968.8,0.0,0.0
573,1966.2,0.0,0.0
574,1963.6,0.0,0.0
575,1960.9,0.0,0.0
576,1958.2,0.0,0.0
577,1955.6,0.0,0.0
578,1952.9,0.0,0.0
579,1950.3,0.0,0.0
580,1947.6,0.0,0.0
581,1944.9,0.0,0.0
582,1942.3,0.0,0.0
583,1939.6,0.0,0.0
584,1936.9,0.0,0.0
585,1934.3,0.0,0.0
586,1931.6,0.0,0.0
587,1928.9,0.0,0.0
588,1926.2,0.0,0.0
589,1923.6,0.0,0.0
590,1997.8,0.0,0.0
591,2003,0.0,0.0
592,2077.9,0.0,0.0
593,2005.7,0.0,0.0
594,2075.4,0.0,0.0
595,2072.8,0.0,0.0
596,2070.3,0.0,0.0
597,2067.7,0.0,0.0
598,2065.1,0.0,0.0
599,2062.6,0.0,0.0
600,2060,0.0,0.0
601,2057.4,0.0,0.0
602,2054.9,0.0,0.0
603,2052.3,0.0,0.0
604,2049.7,0.0,0.0
605,2047.2,0.0,0.0
606,2044.6,0.0,0.0
607,2042,0.0,0.0
608,2039.4,0.0,0.0
609,2036.8,0.0,0.0
610,2034.2,0.0,0.0
611,2031.7,0.0,0.0
612,2029.1,0.0,0.0
613,2026.5,0.0,0.0
614,2023.9,0.0,0.0
615,2021.3,0.0,0.0
616,2018.7,0.0,0.0
617,2016.1,0.0,0.0
618,2013.5,0.0,0.0
619,2010.9,0.0,0.0
620,2008.3,0.0,0.0
621,2231.7,0.0,0.0
622,2236.5,0.0,0.0
623,1918.2,0.0,0.0
624,2448.2,0.0,0.0
625,2443.8,0.0,0.0
626,2441.6,0.0,0.0
627,2439.4,0.0,0.0
628,2437.2,0.0,0.0
629,2435,0.0,0.0
630,2432.8,0.0,0.0
631,2430.6,0.0,0.0
632,2428.4,0.0,0.0
633,2426.1,0.0,0.0
634,2423.9,0.0,0.0
635,2421.7,0.0,0.0
636,2419.5,0.0,0.0
637,2417.2,0.0,0.0
638,2415,0.0,0.0
639,2412.8,0.0,0.0
640,2410.5,0.0,0.0
641,2408.3,0.0,0.0
642,2406.1,0.0,0.0
643,2403.8,0.0,0.0
644,2401.6,0.0,0.0
645,2399.3,0.0,0.0
646,2397.1,0.0,0.0
647,2394.8,0.0,0.0
648,2392.6,0.0,0.0
649,2390.3,0.0,0.0
650,2388.1,0.0,0.0
651,2385.8,0.0,0.0
652,2446,0.0,0.0
653,2450.4,0.0,0.0
654,2381.3,0.0,0.0
655,2452.6,0.0,0.0
656,2513.1,0.0,0.0
657,2508.9,0.0,0.0
658,2506.7,0.0,0.0
659,2504.6,0.0,0.0
660,2502.4,0.0,0.0
661,2500.3,0.0,0.0
662,2498.2,0.0,0.0
663,2496,0.0,0.0
664,2493.9,0.0,0.0
665,2491.7,0.0,0.0
666,2489.6,0.0,0.0
667,2487.4,0.0,0.0
668,2485.2,0.0,0.0
669,2483.1,0.0,0.0
670,2480.9,0.0,0.0
671,2478.8,0.0,0.0
672,2476.6,0.0,0.0
673,2474.4,0.0,0.0
674,2472.2,0.0,0.0
675,2470.1,0.0,0.0
676,2467.9,0.0,0.0
677,2465.7,0.0,0.0
678,2463.5,0.0,0.0
679,2461.4,0.0,0.0
680,2459.2,0.0,0.0
